Priority,Company,Company Type,Website,Email,Phone,WhatsApp,Decision Maker,Designation,Product,Buyer Probability,Import Probability,Lead Score,Lead Bucket,Recommended Action,Verification Status,Outreach Status
🔴 Immediate,"Collab Opportunity for Tile Retailers, Builders & Architects ...",UNKNOWN,https://www.ramirro.com/collaboration-opportunity-for-tile-retailers-builders-architects-in-russia-premium-porcelain-ceramic-tiles/,info@ramirro.com,NOT_FOUND,NOT_FOUND,Ramirro Ceramica,Export Manager,Porcelain & Ceramic Tiles,MEDIUM,HIGH,85,HOT,Reach out to the Export Manager at info@ramirro.com to discuss potential tile supply partnership.,QUALIFIED,Pending Outreach
🟠 High,Союз Керамика (Soyuz Ceramica),DISTRIBUTOR,https://soyuzceramica.ru,shop@soyuzceramica.ru,+7 495 117-97-17,+7 968 833-72-08,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,HIGH,75,WARM,Send an introductory email to the generic address (shop@soyuzceramica.ru) requesting to speak with the tile purchasing or procurement manager.,QUALIFIED,Pending Outreach
🟠 High,Итальянская керамическая плитка оптом со склада в ...,WHOLESALER,https://www.tile-ceramica.ru/plitka_optom/,ceramica@ceramica.ru,+7 495 956-00-59,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,HIGH,65,WARM,Perform contact enrichment to identify key decision makers in purchasing/import operations and initiate contact via ceramica@ceramica.ru or +74959560059.,QUALIFIED,Pending Outreach
🟠 High,Импорт керамической плитки в Российской Федерации,UNKNOWN,https://www.abok.ru/for_spec/articles.php?nid=1579,support@abok.ru,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,HIGH,65,WARM,"Conduct deeper research to identify the actual business entity behind the site, locate decision‑makers, and verify purchasing intent before outreach.",QUALIFIED,Pending Outreach
🟠 High,Импорт керамической плитки и керамогранита из Китая ...,IMPORTER,https://kf.com.ru/ceramics,sale@kf.com.ru,+7 900 000-16-30,+7 900 000-16-45,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,HIGH,65,WARM,Initiate outreach via sale@kf.com.ru or business phone to identify the purchasing or import department decision-maker.,QUALIFIED,Pending Outreach
🟠 High,Керамотека (Keramoteka),DISTRIBUTOR,https://www.keramoteka.ru/,msk@keramoteka.ru,+7 495 649-84-20,+7 926 471-85-39,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,HIGH,65,WARM,Initiate contact via sales/inquiry channels (msk@keramoteka.ru / WhatsApp) to identify the purchasing or import procurement manager.,QUALIFIED,Pending Outreach
🟠 High,"Top 185+ Best Ceramic Tiles Dealer In Moscow, Russia",IMPORTER,https://pvrmines.com/tiles-in-saint-petersburg/,NOT_FOUND,+7 812 408-29-68,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,HIGH,65,WARM,Contact via the listed phone number to gather decision‑maker information and assess buying interest.,QUALIFIED,Pending Outreach
🟡 Research,Tile Oliva Ceramic Buy in Moscow,RETAILER,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=afmboooo80_vftst8kpqspiob3u9m94drgfp5ybkf1fvk0uy8pl-0zmh,sales@lineceramic.ru,+7 904 355-88-00,NOT_FOUND,General Director,CEO / General Director,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,60,POTENTIAL,Reach out to the General Director via the provided email to discuss tile import opportunities and assess partnership potential.,QUALIFIED,Pending Outreach
🟡 Research,Топ 10 российских компаний по производству ...,MANUFACTURER,https://kirovstroysnab.ru/articles/reyting/top-10-rossiyskikh-kompaniy-po-proizvodstvu-keramogranita-v-2023/,sale@kirovstroysnab.ru,NOT_FOUND,NOT_FOUND,Пестова Александра Викторовича,CEO / General Director,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,60,POTENTIAL,Reach out to the listed CEO via the provided business email to explore potential import partnership.,QUALIFIED,Pending Outreach
🟡 Research,Nt Ceramic,MANUFACTURER,https://ntceramic.ru,info@ntceramic.ru,+7 800 700-28-73,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,LOW,55,POTENTIAL,"Monitor for potential partnership or distribution opportunities, but do not prioritize as a direct buyer lead.",QUALIFIED,Pending Outreach
🟡 Research,Estima,MANUFACTURER,https://estima.ru,logistikkursk@skvirel-group.ru,+7 495 775-60-40,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,LOW,55,POTENTIAL,"Log an informational note and consider a low‑priority outreach to explore possible distribution or partnership opportunities, but focus higher‑probability buyer leads first.",QUALIFIED,Pending Outreach
🟡 Research,Керамическая плитка - «Империя Керамики» салон плитки ...,SHOWROOM,https://imperiakeramiki.ru/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,52,POTENTIAL,Initiate contact via the website contact form to request a decision‑maker and discuss tile procurement needs.,QUALIFIED,Pending Outreach
🟡 Research,Российская керамическая плитка,UNKNOWN,https://www.rusplitka.ru/catalog/land/rossiya/,info@rusplitka.ru,+7 495 229-44-20,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,Contact the provided business email to introduce Wolf Group India’s porcelain and ceramic tile offerings and request a conversation with the procurement team.,QUALIFIED,Pending Outreach
🟡 Research,«Арт Реал» - интернет-магазин керамической плитки в ...,RETAILER,https://www.artreal.ru/,info@artreal.ru,+7 495 150-32-98,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,Reach out via the provided email or phone to identify the purchasing decision‑maker and assess interest in importing porcelain and ceramic tiles.,QUALIFIED,Pending Outreach
🟡 Research,Керамогранит оптом - Керамическая плитка,WHOLESALER,https://opt.mosplitka.ru/,opt@mosplitka.ru,+7 495 104-70-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Initiate outreach to the generic contact (email/phone) to assess interest in importing porcelain and ceramic tiles.,QUALIFIED,Pending Outreach
🟡 Research,Интернет-магазин керамогранита и керамической плитки в ...,RETAILER,https://msk.estima.ru/,salon-msk@estima.ru,+7 499 110-60-04,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Contact via the provided email or phone to obtain a purchasing manager contact and assess interest in importing tiles.,QUALIFIED,Pending Outreach
🟡 Research,Купить керамогранит в Москве и России. Оптом от ...,WHOLESALER,https://technotile.ru/,opt@technotile.ru,+7 499 350-44-50,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,Reach out via the provided email or phone to discuss potential tile import partnership and gather decision‑maker information.,QUALIFIED,Pending Outreach
🟡 Research,Home,UNKNOWN,http://investceramic.ru/home-en,info@investceramic.ru,+7 800 250-35-90,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Reach out via the provided email/phone to gather more details and identify the appropriate decision maker; prioritize further research on company structure and import capabilities.,QUALIFIED,Pending Outreach
🟡 Research,Керамическая плитка и керамогранит оптом – купить в ...,WHOLESALER,https://spb.tesser.ru/content/dlya_optovikov/,spb@tesser.ru,+7 812 407-70-08,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Contact via the provided email or phone to qualify the lead and discuss potential tile import purchases.,QUALIFIED,Pending Outreach
🟡 Research,КЕРАМОГРАНИТ купить в Москве оптом и в розницу. ...,WHOLESALER,https://www.ceram-kioto.ru/catalog/keramogranit/,ceram-kioto@mail.ru,+7 495 589-36-85,+7 967 245-45-14,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Contact the provided business email or phone to introduce Wolf Group India and request to speak with the purchasing or procurement manager for tile imports.,QUALIFIED,Pending Outreach
🟡 Research,Top-Grade Ceramic and Porcelain Tile Solutions for Russia,UNKNOWN,https://faceimpex.com/globally-presenting/top-grade-ceramic-and-porcelain-tile-solutions-for-russia/,info@faceimpex.com,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Contact via the provided email to request more details and identify decision‑makers.,QUALIFIED,Pending Outreach
🟡 Research,Контакт-М (Contact-M),WHOLESALER,https://kontact-m.ru/wholesalers/,koroleva@kontact-m.ru,+7 905 779-77-11,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,Initiate outreach to the provided email or phone number to gauge interest and identify the appropriate decision‑maker for tile procurement.,QUALIFIED,Pending Outreach
🟡 Research,Creto,UNKNOWN,https://creto.ru,shop@creto.ru,+7 495 085-82-20,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,Conduct further research to identify decision‑maker contacts and verify import intentions before outreach.,QUALIFIED,Pending Outreach
