Company,Company Type,Website,Email,Phone,WhatsApp,Decision Maker,Designation,Product,Buyer Probability,Import Probability,Lead Score,Lead Bucket,Priority,Recommended Action,Verification Status,First Contact Date,Follow-up Date,Response,Notes,Communication Status,Sales Status,Opportunity Status,Lost Reason
Союз Керамика (Soyuz Ceramica),DISTRIBUTOR,https://soyuzceramica.ru,shop@soyuzceramica.ru,+7 495 117-97-17,+7 968 833-72-08,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,HIGH,75,WARM,🟠 High,Send an introductory email to the generic address (shop@soyuzceramica.ru) requesting to speak with the tile purchasing or procurement manager.,QUALIFIED,2026-08-18,,REQUESTED_CATALOG,,REPLIED,CATALOG_REQUESTED,QUALIFYING,NOT_APPLICABLE
Итальянская керамическая плитка оптом со склада в ...,WHOLESALER,https://www.tile-ceramica.ru/plitka_optom/,ceramica@ceramica.ru,+7 495 956-00-59,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,HIGH,65,WARM,🟠 High,Perform contact enrichment to identify key decision makers in purchasing/import operations and initiate contact via ceramica@ceramica.ru or +74959560059.,QUALIFIED,2026-08-18,2026-08-25,NO_RESPONSE,,FOLLOW_UP,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамотека (Keramoteka),DISTRIBUTOR,https://www.keramoteka.ru/,msk@keramoteka.ru,+7 495 649-84-20,+7 926 471-85-39,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,HIGH,65,WARM,🟠 High,Initiate contact via sales/inquiry channels (msk@keramoteka.ru / WhatsApp) to identify the purchasing or import procurement manager.,QUALIFIED,2026-08-18,2026-08-25,FORWARDED_TO_PURCHASING,,FOLLOW_UP,POTENTIAL,QUALIFYING,NOT_APPLICABLE
Tile Oliva Ceramic Buy in Moscow,RETAILER,https://www.lineceramic.ru/en/hand-made-ceramic-tiles/oliva-tile-clone/?srsltid=afmboooo80_vftst8kpqspiob3u9m94drgfp5ybkf1fvk0uy8pl-0zmh,sales@lineceramic.ru,+7 904 355-88-00,NOT_FOUND,General Director,CEO / General Director,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,60,POTENTIAL,🟡 Research,Reach out to the General Director via the provided email to discuss tile import opportunities and assess partnership potential.,QUALIFIED,2026-08-18,2026-08-25,NO_RESPONSE,,FOLLOW_UP,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Nt Ceramic,MANUFACTURER,https://ntceramic.ru,info@ntceramic.ru,+7 800 700-28-73,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,LOW,55,POTENTIAL,🟡 Research,"Monitor for potential partnership or distribution opportunities, but do not prioritize as a direct buyer lead.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Estima,MANUFACTURER,https://estima.ru,logistikkursk@skvirel-group.ru,+7 495 775-60-40,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,LOW,LOW,55,POTENTIAL,🟡 Research,"Log an informational note and consider a low‑priority outreach to explore possible distribution or partnership opportunities, but focus higher‑probability buyer leads first.",QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамическая плитка - «Империя Керамики» салон плитки ...,SHOWROOM,https://imperiakeramiki.ru/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,LOW,52,POTENTIAL,🟡 Research,Initiate contact via the website contact form to request a decision‑maker and discuss tile procurement needs.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
«Арт Реал» - интернет-магазин керамической плитки в ...,RETAILER,https://www.artreal.ru/,info@artreal.ru,+7 495 150-32-98,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,🟡 Research,Reach out via the provided email or phone to identify the purchasing decision‑maker and assess interest in importing porcelain and ceramic tiles.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Российская керамическая плитка,UNKNOWN,https://www.rusplitka.ru/catalog/land/rossiya/,info@rusplitka.ru,+7 495 229-44-20,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,MEDIUM,UNKNOWN,50,POTENTIAL,🟡 Research,Contact the provided business email to introduce Wolf Group India’s porcelain and ceramic tile offerings and request a conversation with the procurement team.,QUALIFIED,,,,,NOT_CONTACTED,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
Керамогранит оптом - Керамическая плитка,WHOLESALER,https://opt.mosplitka.ru/,opt@mosplitka.ru,+7 495 104-70-80,NOT_FOUND,NOT_FOUND,NOT_FOUND,Porcelain & Ceramic Tiles,HIGH,UNKNOWN,50,POTENTIAL,🟡 Research,Initiate outreach to the generic contact (email/phone) to assess interest in importing porcelain and ceramic tiles.,QUALIFIED,2026-08-18,2026-08-25,NO_RESPONSE,,FOLLOW_UP,POTENTIAL,NO_OPPORTUNITY,NOT_APPLICABLE
